"RaumKategorie","RaumSort","RaumLang","StichtagDatJahr","FlaecheT","FlaecheL","FlaecheS"
"Gesamte Stadt",0,"Ganze Stadt",2009,9188.1,6526.2,3759.6
"Gesamte Stadt",0,"Ganze Stadt",2010,9188.1,6522.4,3756.2
"Gesamte Stadt",0,"Ganze Stadt",2011,9188.1,6521.9,3759.6
"Gesamte Stadt",0,"Ganze Stadt",2012,9188.1,6523.5,3770.1
"Gesamte Stadt",0,"Ganze Stadt",2013,9188.1,6521.5,3770.7
"Gesamte Stadt",0,"Ganze Stadt",2014,9188.1,6521.9,3776.7
"Gesamte Stadt",0,"Ganze Stadt",2015,9188.1,6513.9,3783.7
"Gesamte Stadt",0,"Ganze Stadt",2016,9188.1,6499.6,3799.1
"Gesamte Stadt",0,"Ganze Stadt",2017,9188.1,6490.8,3804.9
"Gesamte Stadt",0,"Ganze Stadt",2018,9188.1,6491.9,3812.1
"Gesamte Stadt",0,"Ganze Stadt",2019,9189.1,6493,3806.7
"Gesamte Stadt",0,"Ganze Stadt",2020,9188.1,6492.6,3802.7
"Gesamte Stadt",0,"Ganze Stadt",2021,9188.1,6492.9,3798.6
"Gesamte Stadt",0,"Ganze Stadt",2022,9188.1,6492.9,3796.4
"Gesamte Stadt",0,"Ganze Stadt",2023,9188.1,6493.2,3798.4
"Gesamte Stadt",0,"Ganze Stadt",2024,9188.1,6492.8,3799.3
"Gesamte Stadt",0,"Ganze Stadt",2025,9188.1,6491.8,3801.8
"Stadtkreis",10,"Kreis 1",2009,180,155.8,88
"Stadtkreis",10,"Kreis 1",2010,180,155.8,88.6
"Stadtkreis",10,"Kreis 1",2011,187.4,161.6,89.1
"Stadtkreis",10,"Kreis 1",2012,180,155.4,90.1
"Stadtkreis",10,"Kreis 1",2013,180,155.4,90.2
"Stadtkreis",10,"Kreis 1",2014,180,155.4,89.9
"Stadtkreis",10,"Kreis 1",2015,180,154.9,89.3
"Stadtkreis",10,"Kreis 1",2016,180,154.9,86.9
"Stadtkreis",10,"Kreis 1",2017,180,154.9,87
"Stadtkreis",10,"Kreis 1",2018,180,154.9,87
"Stadtkreis",10,"Kreis 1",2019,180,154.9,87
"Stadtkreis",10,"Kreis 1",2020,180,154.9,87
"Stadtkreis",10,"Kreis 1",2021,180,154.9,87
"Stadtkreis",10,"Kreis 1",2022,180,154.9,87
"Stadtkreis",10,"Kreis 1",2023,180,154.9,86.7
"Stadtkreis",10,"Kreis 1",2024,180,154.9,86.7
"Stadtkreis",10,"Kreis 1",2025,180,154.9,86.7
"Stadtkreis",20,"Kreis 2",2009,1106.6,685.6,363.5
"Stadtkreis",20,"Kreis 2",2010,1106.6,682.8,362.3
"Stadtkreis",20,"Kreis 2",2011,1110.5,690.9,366
"Stadtkreis",20,"Kreis 2",2012,1106.6,682.8,363.3
"Stadtkreis",20,"Kreis 2",2013,1106.6,682.6,363
"Stadtkreis",20,"Kreis 2",2014,1106.6,682.7,363.1
"Stadtkreis",20,"Kreis 2",2015,1106.6,682.3,364.2
"Stadtkreis",20,"Kreis 2",2016,1106.6,679.4,361.1
"Stadtkreis",20,"Kreis 2",2017,1106.6,679,360.6
"Stadtkreis",20,"Kreis 2",2018,1106.6,676,359.4
"Stadtkreis",20,"Kreis 2",2019,1106.6,676,357.9
"Stadtkreis",20,"Kreis 2",2020,1106.6,676,356.4
"Stadtkreis",20,"Kreis 2",2021,1106.6,675.9,356.5
"Stadtkreis",20,"Kreis 2",2022,1106.6,675.9,355.9
"Stadtkreis",20,"Kreis 2",2023,1106.6,676,355.9
"Stadtkreis",20,"Kreis 2",2024,1106.6,676.1,356.1
"Stadtkreis",20,"Kreis 2",2025,1106.6,676.1,355.8
"Stadtkreis",30,"Kreis 3",2009,865.1,585.6,341.9
"Stadtkreis",30,"Kreis 3",2010,865.1,584.9,339.7
"Stadtkreis",30,"Kreis 3",2011,864.6,584.4,339.6
"Stadtkreis",30,"Kreis 3",2012,865.1,584.8,338.9
"Stadtkreis",30,"Kreis 3",2013,865.1,583.9,339.2
"Stadtkreis",30,"Kreis 3",2014,865.1,583.8,340.3
"Stadtkreis",30,"Kreis 3",2015,865.1,583.6,345
"Stadtkreis",30,"Kreis 3",2016,865.1,583.4,344.5
"Stadtkreis",30,"Kreis 3",2017,865.1,583.9,348.5
"Stadtkreis",30,"Kreis 3",2018,865.1,582.6,349.9
"Stadtkreis",30,"Kreis 3",2019,865.1,582.7,349.1
"Stadtkreis",30,"Kreis 3",2020,865.1,582.8,348.9
"Stadtkreis",30,"Kreis 3",2021,865.1,582.8,348.8
"Stadtkreis",30,"Kreis 3",2022,865.1,582.8,348.8
"Stadtkreis",30,"Kreis 3",2023,865.1,582.7,348.9
"Stadtkreis",30,"Kreis 3",2024,865.1,582.6,348.9
"Stadtkreis",30,"Kreis 3",2025,865.1,582.3,348.7
"Stadtkreis",40,"Kreis 4",2009,280,276.1,149.2
"Stadtkreis",40,"Kreis 4",2010,280,276.1,149.2
"Stadtkreis",40,"Kreis 4",2011,276.8,275,148.6
"Stadtkreis",40,"Kreis 4",2012,290.9,287,151.8
"Stadtkreis",40,"Kreis 4",2013,290.9,287,152.1
"Stadtkreis",40,"Kreis 4",2014,290.9,287,152.6
"Stadtkreis",40,"Kreis 4",2015,290.9,286.8,152.7
"Stadtkreis",40,"Kreis 4",2016,290.9,286.8,152
"Stadtkreis",40,"Kreis 4",2017,290.6,286.5,153.1
"Stadtkreis",40,"Kreis 4",2018,290.6,286.5,153.2
"Stadtkreis",40,"Kreis 4",2019,290.6,286.5,154.6
"Stadtkreis",40,"Kreis 4",2020,290.6,286.5,154.1
"Stadtkreis",40,"Kreis 4",2021,290.6,286.5,154.3
"Stadtkreis",40,"Kreis 4",2022,290.6,286.5,153.1
"Stadtkreis",40,"Kreis 4",2023,290.6,286.5,153.6
"Stadtkreis",40,"Kreis 4",2024,290.6,286.5,153.6
"Stadtkreis",40,"Kreis 4",2025,290.6,286.5,153.4
"Stadtkreis",50,"Kreis 5",2009,208.9,197.2,135.6
"Stadtkreis",50,"Kreis 5",2010,208.9,197.2,135.6
"Stadtkreis",50,"Kreis 5",2011,208.9,197.2,135.7
"Stadtkreis",50,"Kreis 5",2012,199.3,187.9,132.6
"Stadtkreis",50,"Kreis 5",2013,199.3,187.9,132.6
"Stadtkreis",50,"Kreis 5",2014,199.3,187.9,132.7
"Stadtkreis",50,"Kreis 5",2015,199.3,187.4,132.5
"Stadtkreis",50,"Kreis 5",2016,199.3,187.2,132.4
"Stadtkreis",50,"Kreis 5",2017,199.7,187.6,132.6
"Stadtkreis",50,"Kreis 5",2018,199.7,187.4,130.1
"Stadtkreis",50,"Kreis 5",2019,199.7,187.4,129.9
"Stadtkreis",50,"Kreis 5",2020,199.7,187.4,128.7
"Stadtkreis",50,"Kreis 5",2021,199.7,187.4,128.7
"Stadtkreis",50,"Kreis 5",2022,199.7,187.4,128.2
"Stadtkreis",50,"Kreis 5",2023,199.7,187.4,128.2
"Stadtkreis",50,"Kreis 5",2024,199.7,187.4,127.8
"Stadtkreis",50,"Kreis 5",2025,199.7,187.4,127.8
"Stadtkreis",60,"Kreis 6",2009,511.2,404.9,263.9
"Stadtkreis",60,"Kreis 6",2010,511.3,405,264.1
"Stadtkreis",60,"Kreis 6",2011,510.4,404.2,264
"Stadtkreis",60,"Kreis 6",2012,510.1,403.9,264.2
"Stadtkreis",60,"Kreis 6",2013,510.1,403.9,266.1
"Stadtkreis",60,"Kreis 6",2014,510.1,403.9,266.1
"Stadtkreis",60,"Kreis 6",2015,510.1,403.1,266
"Stadtkreis",60,"Kreis 6",2016,510.1,402.9,266.5
"Stadtkreis",60,"Kreis 6",2017,510.1,401.7,266.8
"Stadtkreis",60,"Kreis 6",2018,510.1,401.8,267.2
"Stadtkreis",60,"Kreis 6",2019,510.1,401.8,266.2
"Stadtkreis",60,"Kreis 6",2020,510.1,401.8,266.1
"Stadtkreis",60,"Kreis 6",2021,510.1,401.8,266.5
"Stadtkreis",60,"Kreis 6",2022,510.1,401.8,266.5
"Stadtkreis",60,"Kreis 6",2023,510.1,401.8,266.5
"Stadtkreis",60,"Kreis 6",2024,510.1,401.8,266.5
"Stadtkreis",60,"Kreis 6",2025,510.1,401.7,266.3
"Stadtkreis",70,"Kreis 7",2009,1501.7,857.2,479.4
"Stadtkreis",70,"Kreis 7",2010,1501.7,857.3,479.5
"Stadtkreis",70,"Kreis 7",2011,1501,857.9,480.1
"Stadtkreis",70,"Kreis 7",2012,1501.7,857.4,482.5
"Stadtkreis",70,"Kreis 7",2013,1501.7,857.3,482.8
"Stadtkreis",70,"Kreis 7",2014,1501.7,857.2,483.3
"Stadtkreis",70,"Kreis 7",2015,1501.7,856.2,484.6
